CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
300349533,2013-12-11,13:30:00,24,2013-12-12,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,MANHATTAN,INSIDE,DOCTOR/DENTIST OFFICE,N.Y. POLICE DEPT,0,,NA,992848,228356,,,,40.793464597,-73.968949638,"{'latitude': '40.793464597', 'longitude': '-73.968949638'}",PATROL BORO MAN NORTH,45-64,WHITE,F,12422,20,4,23,15,2013-12-11,14:15:00,NA,,,2013.0
944253539,2013-08-28,11:00:00,63,2013-08-28,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,NA,1007048,167105,,,,40.625319998,-73.917873518,"{'latitude': '40.625319998', 'longitude': '-73.917873518'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,D,13825,5,2,8,38,2013-08-28,11:30:00,NA,,,2013.0
608679532,2013-12-04,18:30:00,101,2013-12-05,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1051824,158026,,WHITE HISPANIC,F,40.600171728,-73.756663063,"{'latitude': '40.600171728', 'longitude': '-73.756663063'}",PATROL BORO QUEENS SOUTH,45-64,BLACK,F,20529,51,3,47,59,2013-12-04,18:40:00,NA,,,2013.0
882178622,2013-09-14,08:40:00,49,2013-09-14,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,1022583,249362,45-64,BLACK,M,40.851041106,-73.861441322,"{'latitude': '40.851041106', 'longitude': '-73.861441322'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,11271,59,5,12,32,2013-09-14,08:40:00,NA,,,2013.0
326188407,2013-02-06,10:45:00,33,2013-02-06,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,NA,1001068,246349,,,,40.842838501,-73.939217894,"{'latitude': '40.842838501', 'longitude': '-73.939217894'}",PATROL BORO MAN NORTH,,UNKNOWN,D,13090,47,4,39,21,2013-02-06,11:00:00,NA,,,2013.0
497446054,2013-02-26,14:00:00,13,2013-02-26,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,,NA,987832,210697,,,,40.744998683,-73.987074409,"{'latitude': '40.744998683', 'longitude': '-73.987074409'}",PATROL BORO MAN SOUTH,45-64,WHITE HISPANIC,M,11722,11,4,51,7,2013-02-26,14:20:00,NA,,,2013.0
380032100,2013-06-08,19:20:00,50,2013-06-08,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,1011414,256215,,BLACK HISPANIC,F,40.869891946,-73.901785463,"{'latitude': '40.869891946', 'longitude': '-73.901785463'}",PATROL BORO BRONX,45-64,WHITE HISPANIC,F,11606,48,5,29,33,2013-06-08,19:25:00,NA,,,2013.0
529864644,2013-08-06,20:00:00,122,2013-08-07,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,945578,147659,,,,40.571889639,-74.139202746,"{'latitude': '40.571889639', 'longitude': '-74.139202746'}",PATROL BORO STATEN ISLAND,45-64,WHITE,M,10693,15,1,14,76,2013-08-07,08:00:00,NA,,,2013.0
124994407,2013-05-16,19:40:00,105,2013-05-16,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1058055,203942,,UNKNOWN,M,40.726150708,-73.733722345,"{'latitude': '40.726150708', 'longitude': '-73.733722345'}",PATROL BORO QUEENS SOUTH,45-64,ASIAN / PACIFIC ISLANDER,M,24337,63,3,16,63,2013-05-16,19:45:00,NA,,,2013.0
404561315,2013-04-27,20:00:00,40,2013-04-28,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,NA,1006362,235446,,,,40.812901217,-73.92012028,"{'latitude': '40.812901217', 'longitude': '-73.92012028'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,M,10932,49,5,35,23,2013-04-28,14:23:00,NA,,,2013.0
